Rank,Title,Links,Score
1,Sousou no Frieren,https://myanimelist.net/anime/52991/Sousou_no_Frieren,9.29
2,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,9.10
3,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,9.07
4,Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,9.05
5,Gintama: The Final,https://myanimelist.net/anime/39486/Gintama__The_Final,9.05
6,Gintama°,https://myanimelist.net/anime/28977/Gintama°,9.05
7,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,9.03
8,One Piece Fan Letter,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter,9.03
9,Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,9.02
10,Gintama',https://myanimelist.net/anime/9969/Gintama,9.02
11,Gintama': Enchousen,https://myanimelist.net/anime/15417/Gintama__Enchousen,9.02
12,Bleach: Sennen Kessen-hen,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,8.99
13,Chainsaw Man Movie: Reze-hen,https://myanimelist.net/anime/57555/Chainsaw_Man_Movie__Reze-hen,8.99
14,Gintama.,https://myanimelist.net/anime/34096/Gintama,8.98
15,Kaguya-sama wa Kokurasetai: Ultra Romantic,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,8.97
16,Fruits Basket: The Final,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,8.94
17,Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story,8.93
18,Gintama,https://myanimelist.net/anime/918/Gintama,8.93
19,Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi,8.93
20,Kusuriya no Hitorigoto 2nd Season,https://myanimelist.net/anime/58514/Kusuriya_no_Hitorigoto_2nd_Season,8.91
21,Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,8.91
22,3-gatsu no Lion 2nd Season,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,8.90
23,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,8.90
24,Monster,https://myanimelist.net/anime/19/Monster,8.89
25,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,https://myanimelist.net/anime/37491/Gintama_Shirogane_no_Tamashii-hen_-_Kouhan-sen,8.88
26,Kusuriya no Hitorigoto,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto,8.86
27,Owarimonogatari 2nd Season,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,8.86
28,Shingeki no Kyojin: The Final Season - Kanketsu-hen,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,8.86
29,Violet Evergarden Movie,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,8.84
30,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,https://myanimelist.net/anime/59571/Shingeki_no_Kyojin_Movie__Kanketsu-hen_-_The_Last_Attack,8.83
31,Takopii no Genzai,https://myanimelist.net/anime/60489/Takopii_no_Genzai,8.83
32,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,8.83
33,Kingdom 3rd Season,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,8.83
34,Vinland Saga Season 2,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,8.82
35,Gintama. Shirogane no Tamashii-hen,https://myanimelist.net/anime/36838/Gintama_Shirogane_no_Tamashii-hen,8.81
36,Hajime no Ippo,https://myanimelist.net/anime/263/Hajime_no_Ippo,8.78
37,Shingeki no Kyojin: The Final Season,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,8.78
38,Kizumonogatari III: Reiketsu-hen,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,8.78
39,Mob Psycho 100 II,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,8.78
40,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,8.77
41,Sen to Chihiro no Kamikakushi,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,8.77
42,Shingeki no Kyojin: The Final Season Part 2,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,8.77
43,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,8.77
44,Monogatari Series: Second Season,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,8.76
45,Ashita no Joe 2,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,8.76
46,Cowboy Bebop,https://myanimelist.net/anime/1/Cowboy_Bebop,8.75
47,Bocchi the Rock!,https://myanimelist.net/anime/47917/Bocchi_the_Rock,8.74
48,Kaoru Hana wa Rin to Saku,https://myanimelist.net/anime/59845/Kaoru_Hana_wa_Rin_to_Saku,8.74
49,Kimetsu no Yaiba Movie 1: Mugenjou-hen - Akaza Sairai,https://myanimelist.net/anime/59192/Kimetsu_no_Yaiba_Movie_1__Mugenjou-hen_-_Akaza_Sairai,8.74
50,Jujutsu Kaisen 2nd Season,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,8.73
